SA2_CODE_2021,SA2_NAME_2021,SA3_NAME,GCC_NAME
401011001,Adelaide,Adelaide City,Greater Adelaide
401011002,North Adelaide,Adelaide City,Greater Adelaide
401021003,Adelaide Hills,Adelaide Hills,Greater Adelaide
401021004,Aldgate - Stirling,Adelaide Hills,Greater Adelaide
401021005,Hahndorf - Echunga,Adelaide Hills,Greater Adelaide
401021006,Lobethal - Woodside,Adelaide Hills,Greater Adelaide
401021007,Mount Barker,Adelaide Hills,Greater Adelaide
401021008,Mount Barker Surrounds,Adelaide Hills,Greater Adelaide
401021009,Nairne,Adelaide Hills,Greater Adelaide
401021010,Uraidla - Summertown,Adelaide Hills,Greater Adelaide
401031011,Burnside - Wattle Park,Burnside,Greater Adelaide
401031012,Beaumont - Glen Osmond,Burnside,Greater Adelaide
401031013,Toorak Gardens,Burnside,Greater Adelaide
401041014,Athelstone,Campbelltown (SA),Greater Adelaide
401041015,Paradise - Newton,Campbelltown (SA),Greater Adelaide
401041016,Rostrevor - Magill,Campbelltown (SA),Greater Adelaide
401051017,Norwood (SA),Norwood - Payneham - St Peters,Greater Adelaide
401051018,Payneham - Felixstow,Norwood - Payneham - St Peters,Greater Adelaide
401051019,St Peters - Marden,Norwood - Payneham - St Peters,Greater Adelaide
401061020,Nailsworth - Broadview,Prospect - Walkerville,Greater Adelaide
401061021,Prospect,Prospect - Walkerville,Greater Adelaide
401061022,Walkerville,Prospect - Walkerville,Greater Adelaide
401071023,Goodwood - Millswood,Unley,Greater Adelaide
401071024,Unley - Parkside,Unley,Greater Adelaide
402011025,Gawler - North,Gawler - Two Wells,Greater Adelaide
402011026,Gawler - South,Gawler - Two Wells,Greater Adelaide
402011027,Lewiston - Two Wells,Gawler - Two Wells,Greater Adelaide
402021028,Craigmore - Blakeview,Playford,Greater Adelaide
402021029,Davoren Park,Playford,Greater Adelaide
402021030,Elizabeth,Playford,Greater Adelaide
402021031,Elizabeth East,Playford,Greater Adelaide
402021032,Munno Para West - Angle Vale,Playford,Greater Adelaide
402021033,One Tree Hill,Playford,Greater Adelaide
402021034,Smithfield - Elizabeth North,Playford,Greater Adelaide
402021035,Virginia - Waterloo Corner,Playford,Greater Adelaide
402031036,Enfield - Blair Athol,Port Adelaide - East,Greater Adelaide
402031038,Windsor Gardens,Port Adelaide - East,Greater Adelaide
402031175,Northgate - Northfield,Port Adelaide - East,Greater Adelaide
402031176,Valley View - Gilles Plains,Port Adelaide - East,Greater Adelaide
402041039,Dry Creek - North,Salisbury,Greater Adelaide
402041040,Ingle Farm,Salisbury,Greater Adelaide
402041041,Para Hills,Salisbury,Greater Adelaide
402041042,Parafield,Salisbury,Greater Adelaide
402041043,Parafield Gardens,Salisbury,Greater Adelaide
402041044,Paralowie,Salisbury,Greater Adelaide
402041046,Salisbury,Salisbury,Greater Adelaide
402041047,Salisbury East,Salisbury,Greater Adelaide
402041048,Salisbury North,Salisbury,Greater Adelaide
402041171,Mawson Lakes - Globe Derby Park,Salisbury,Greater Adelaide
402041172,Pooraka - Cavan,Salisbury,Greater Adelaide
402051049,Golden Grove,Tea Tree Gully,Greater Adelaide
402051050,Greenwith,Tea Tree Gully,Greater Adelaide
402051051,Highbury - Dernancourt,Tea Tree Gully,Greater Adelaide
402051052,Hope Valley - Modbury,Tea Tree Gully,Greater Adelaide
402051053,Modbury Heights,Tea Tree Gully,Greater Adelaide
402051054,Redwood Park,Tea Tree Gully,Greater Adelaide
402051055,St Agnes - Ridgehaven,Tea Tree Gully,Greater Adelaide
403011056,Brighton (SA),Holdfast Bay,Greater Adelaide
403011057,Glenelg (SA),Holdfast Bay,Greater Adelaide
403021058,Edwardstown,Marion,Greater Adelaide
403021059,Hallett Cove,Marion,Greater Adelaide
403021060,Marino - Seaview Downs,Marion,Greater Adelaide
403021061,Mitchell Park,Marion,Greater Adelaide
403021062,Morphettville,Marion,Greater Adelaide
403021063,Sheidow Park - Trott Park,Marion,Greater Adelaide
403021064,Warradale,Marion,Greater Adelaide
403031065,Belair,Mitcham,Greater Adelaide
403031066,Bellevue Heights,Mitcham,Greater Adelaide
403031067,Blackwood,Mitcham,Greater Adelaide
403031068,Colonel Light Gardens,Mitcham,Greater Adelaide
403031069,Mitcham (SA),Mitcham,Greater Adelaide
403031070,Panorama,Mitcham,Greater Adelaide
403041071,Aberfoyle Park,Onkaparinga,Greater Adelaide
403041072,Aldinga,Onkaparinga,Greater Adelaide
403041073,Christie Downs,Onkaparinga,Greater Adelaide
403041074,Christies Beach,Onkaparinga,Greater Adelaide
403041075,Clarendon,Onkaparinga,Greater Adelaide
403041076,Coromandel Valley,Onkaparinga,Greater Adelaide
403041077,Flagstaff Hill,Onkaparinga,Greater Adelaide
403041078,Hackham - Onkaparinga Hills,Onkaparinga,Greater Adelaide
403041079,Hackham West - Huntfield Heights,Onkaparinga,Greater Adelaide
403041080,Happy Valley,Onkaparinga,Greater Adelaide
403041081,Happy Valley Reservoir,Onkaparinga,Greater Adelaide
403041082,Lonsdale,Onkaparinga,Greater Adelaide
403041083,McLaren Vale,Onkaparinga,Greater Adelaide
403041084,Morphett Vale - East,Onkaparinga,Greater Adelaide
403041085,Morphett Vale - West,Onkaparinga,Greater Adelaide
403041086,Reynella,Onkaparinga,Greater Adelaide
403041088,Willunga,Onkaparinga,Greater Adelaide
403041089,Woodcroft,Onkaparinga,Greater Adelaide
403041177,Seaford - Seaford Meadows,Onkaparinga,Greater Adelaide
403041178,Seaford Rise - Moana,Onkaparinga,Greater Adelaide
404011090,Beverley,Charles Sturt,Greater Adelaide
404011091,Flinders Park,Charles Sturt,Greater Adelaide
404011092,Henley Beach,Charles Sturt,Greater Adelaide
404011093,Hindmarsh - Brompton,Charles Sturt,Greater Adelaide
404011094,Royal Park - Hendon - Albert Park,Charles Sturt,Greater Adelaide
404011095,Seaton - Grange,Charles Sturt,Greater Adelaide
404011096,West Lakes,Charles Sturt,Greater Adelaide
404011097,Woodville - Cheltenham,Charles Sturt,Greater Adelaide
404021098,Dry Creek - South,Port Adelaide - West,Greater Adelaide
404021099,Largs Bay - Semaphore,Port Adelaide - West,Greater Adelaide
404021100,North Haven,Port Adelaide - West,Greater Adelaide
404021101,Port Adelaide,Port Adelaide - West,Greater Adelaide
404021102,The Parks,Port Adelaide - West,Greater Adelaide
404021103,Torrens Island,Port Adelaide - West,Greater Adelaide
404031104,Adelaide Airport,West Torrens,Greater Adelaide
404031105,Fulham,West Torrens,Greater Adelaide
404031106,Lockleys,West Torrens,Greater Adelaide
404031107,Plympton,West Torrens,Greater Adelaide
404031108,Richmond (SA),West Torrens,Greater Adelaide
404031109,West Beach,West Torrens,Greater Adelaide
405011110,Barossa - Angaston,Barossa,Rest of SA
405011111,Light,Barossa,Rest of SA
405011112,Lyndoch,Barossa,Rest of SA
405011113,Mallala,Barossa,Rest of SA
405011114,Nuriootpa,Barossa,Rest of SA
405011115,Tanunda,Barossa,Rest of SA
405021116,Clare,Lower North,Rest of SA
405021117,Gilbert Valley,Lower North,Rest of SA
405021118,Goyder,Lower North,Rest of SA
405021119,Wakefield - Barunga West,Lower North,Rest of SA
405031120,Jamestown,Mid North,Rest of SA
405031121,Peterborough - Mount Remarkable,Mid North,Rest of SA
405031122,Port Pirie,Mid North,Rest of SA
405031123,Port Pirie Surrounds,Mid North,Rest of SA
405041124,Kadina,Yorke Peninsula,Rest of SA
405041125,Moonta,Yorke Peninsula,Rest of SA
405041126,Wallaroo,Yorke Peninsula,Rest of SA
405041127,Yorke Peninsula - North,Yorke Peninsula,Rest of SA
405041128,Yorke Peninsula - South,Yorke Peninsula,Rest of SA
406011129,Ceduna,Eyre Peninsula and South West,Rest of SA
406011130,Eyre Peninsula,Eyre Peninsula and South West,Rest of SA
406011131,Kimba - Cleve - Franklin Harbour,Eyre Peninsula and South West,Rest of SA
406011132,Le Hunte - Elliston,Eyre Peninsula and South West,Rest of SA
406011133,Port Lincoln,Eyre Peninsula and South West,Rest of SA
406011134,West Coast (SA),Eyre Peninsula and South West,Rest of SA
406011135,Western,Eyre Peninsula and South West,Rest of SA
406011136,Whyalla,Eyre Peninsula and South West,Rest of SA
406011137,Whyalla - North,Eyre Peninsula and South West,Rest of SA
406021138,APY Lands,Outback - North and East,Rest of SA
406021139,Coober Pedy,Outback - North and East,Rest of SA
406021140,Quorn - Lake Gilles,Outback - North and East,Rest of SA
406021141,Outback,Outback - North and East,Rest of SA
406021142,Port Augusta,Outback - North and East,Rest of SA
406021143,Roxby Downs,Outback - North and East,Rest of SA
407011144,Goolwa - Port Elliot,Fleurieu - Kangaroo Island,Rest of SA
407011145,Kangaroo Island,Fleurieu - Kangaroo Island,Rest of SA
407011146,Strathalbyn,Fleurieu - Kangaroo Island,Rest of SA
407011147,Strathalbyn Surrounds,Fleurieu - Kangaroo Island,Rest of SA
407011148,Victor Harbor,Fleurieu - Kangaroo Island,Rest of SA
407011149,Yankalilla,Fleurieu - Kangaroo Island,Rest of SA
407021150,Grant,Limestone Coast,Rest of SA
407021151,Kingston - Robe,Limestone Coast,Rest of SA
407021152,Millicent,Limestone Coast,Rest of SA
407021154,Naracoorte,Limestone Coast,Rest of SA
407021155,Naracoorte Surrounds,Limestone Coast,Rest of SA
407021156,Penola,Limestone Coast,Rest of SA
407021157,Tatiara,Limestone Coast,Rest of SA
407021158,Wattle Range,Limestone Coast,Rest of SA
407021173,Mount Gambier - East,Limestone Coast,Rest of SA
407021174,Mount Gambier - West,Limestone Coast,Rest of SA
407031159,Barmera,Murray and Mallee,Rest of SA
407031160,Berri,Murray and Mallee,Rest of SA
407031161,Karoonda - Lameroo,Murray and Mallee,Rest of SA
407031162,Loxton,Murray and Mallee,Rest of SA
407031163,Loxton Surrounds,Murray and Mallee,Rest of SA
407031164,Mannum,Murray and Mallee,Rest of SA
407031165,Murray Bridge,Murray and Mallee,Rest of SA
407031166,Murray Bridge Surrounds,Murray and Mallee,Rest of SA
407031167,Renmark,Murray and Mallee,Rest of SA
407031168,Renmark Surrounds,Murray and Mallee,Rest of SA
407031169,The Coorong,Murray and Mallee,Rest of SA
407031170,Waikerie,Murray and Mallee,Rest of SA
497979799,Migratory - Offshore - Shipping (SA),Migratory - Offshore - Shipping (SA),Migratory - Offshore - Shipping (SA)
499999499,No usual address (SA),No usual address (SA),No usual address (SA)
